  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4879   0.01002   0.00438  -0.1078   0.7661   1.0000
   0.250   0.5131   0.01009   0.00432  -0.1071   0.7523   1.0000
   0.500   0.5386   0.01018   0.00429  -0.1065   0.7387   1.0000
   0.750   0.5645   0.01029   0.00426  -0.1060   0.7255   1.0000
   1.000   0.5908   0.01040   0.00425  -0.1055   0.7130   1.0000
   1.250   0.6176   0.01054   0.00424  -0.1051   0.7012   1.0000
   1.500   0.6432   0.01068   0.00430  -0.1045   0.6881   1.0000
   1.750   0.6691   0.01084   0.00437  -0.1041   0.6758   1.0000
   2.000   0.6956   0.01101   0.00444  -0.1037   0.6645   1.0000
   2.250   0.7222   0.01119   0.00452  -0.1033   0.6538   1.0000
   2.500   0.7480   0.01138   0.00466  -0.1029   0.6423   1.0000
   2.750   0.7745   0.01158   0.00479  -0.1026   0.6323   1.0000
   3.000   0.8010   0.01178   0.00491  -0.1022   0.6223   1.0000
   3.250   0.8270   0.01200   0.00510  -0.1018   0.6121   1.0000
   3.500   0.8541   0.01223   0.00524  -0.1016   0.6034   1.0000
   3.750   0.8796   0.01243   0.00547  -0.1012   0.5933   1.0000
   4.000   0.9062   0.01268   0.00565  -0.1009   0.5846   1.0000
   4.250   0.9321   0.01290   0.00586  -0.1005   0.5752   1.0000
   4.500   0.9581   0.01315   0.00611  -0.1001   0.5663   1.0000
   4.750   0.9843   0.01338   0.00631  -0.0998   0.5574   1.0000
   5.000   1.0097   0.01363   0.00658  -0.0993   0.5480   1.0000
   5.250   1.0363   0.01389   0.00679  -0.0990   0.5394   1.0000
   5.500   1.0606   0.01412   0.00708  -0.0984   0.5291   1.0000
   5.750   1.0860   0.01437   0.00732  -0.0979   0.5196   1.0000
   6.000   1.1105   0.01459   0.00755  -0.0972   0.5087   1.0000
